COD_PROG_CURRICULAR,PROG_CURRICULAR,SNIES
344,ESPECIALIZACIÓN EN ADMINISTRACIÓN EN SALUD PÚBLICA,55150
285,MAESTRÍA EN SALUD Y SEGURIDAD EN EL TRABAJO,52749
276,ESPECIALIZACIÓN EN ANIMACIÓN,52972
312,MAESTRÍA EN MEDICINA ALTERNATIVA,52980
INT,INTERNADO,0
340,ESPECIALIDAD EN ENDODONCIA,55147
346,MAESTRÍA EN ESTUDIOS POLÍTICOS LATINOAMERICANOS,55023
224,MAESTRÍA EN INGENIERÍA - MATERIALES Y PROCESOS,19865
224,MAESTRÍA EN INGENIERÍA - MATERIALES Y PROCESOS,106664
069,DOCTORADO EN CIENCIAS - BIOLOGÍA,19892
069,DOCTORADO EN CIENCIAS - BIOLOGÍA,90821
070,DOCTORADO EN CIENCIAS ECONÓMICAS,19895
071,DOCTORADO EN CIENCIAS - ESTADÍSTICA,106673
071,DOCTORADO EN CIENCIAS - ESTADÍSTICA,19893
072,DOCTORADO EN CIENCIAS FARMACÉUTICAS,19894
073,DOCTORADO EN CIENCIAS - FÍSICA,107445
073,DOCTORADO EN CIENCIAS - FÍSICA,112
073,DOCTORADO EN CIENCIAS - FÍSICA,55126
074,DOCTORADO EN CIENCIAS - MATEMÁTICAS,2505
074,DOCTORADO EN CIENCIAS - MATEMÁTICAS,106343
075,DOCTORADO EN CIENCIAS - QUÍMICA,111
077,DOCTORADO EN FILOSOFÍA,110
078,DOCTORADO EN HISTORIA,19896
078,DOCTORADO EN HISTORIA,19860
079,DOCTORADO EN INGENIERÍA - INGENIERÍA ELÉCTRICA,51674
080,DOCTORADO EN INGENIERÍA - INGENIERÍA QUÍMICA,101983
080,DOCTORADO EN INGENIERÍA - INGENIERÍA QUÍMICA,51676
082,ESPECIALIZACIÓN EN GEOTECNIA,75
082,ESPECIALIZACIÓN EN GEOTECNIA,4128
086,ESPECIALIDAD EN ANESTESIOLOGÍA Y REANIMACIÓN,64
087,ESPECIALIZACIÓN EN ANTROPOLOGÍA FORENSE,16944
088,ESPECIALIZACIÓN EN ASTRONOMÍA,16893
089,ESPECIALIZACIÓN EN AUTOMATIZACIÓN INDUSTRIAL,16945
089,ESPECIALIZACIÓN EN AUTOMATIZACIÓN INDUSTRIAL,16917
091,ESPECIALIZACIÓN EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,2706
091,ESPECIALIZACIÓN EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,79
092,ESPECIALIZACIÓN EN CIENCIAS FÍSICA,54033
093,ESPECIALIDAD EN CIRUGÍA GENERAL,38
