CODIGO_INTERNO,COD_DEPTO_PROCEDENCIA,COD_MUN_PROCEDENCIA,COD_DEPTO_RESIDENCIA,COD_MUN_RESIDENCIA,ESTRATO,COD_COLEGIO,MODACADEMICA,ANO_TERMINACION_COLEGIO,PBM_CALCULADO,PBM_COLEGIO,PBM_ASIGNADO,PUNTAJE_ADMISION,CONVOCATORIA,APERTURA,COD_ACCESO,COD_SUBACCESO,NODO_INICIO,COD_PLAN,HIST_ACADEMICA
636617,5,1,5,1,3,727644,Oficial,2024,,,,"592,926",2025-1S,2025-1S,1,3,2,3534,1725
636713,5,1,5,1,4,000141,No oficial,2024,,,,"760,383",2025-1S,2025-1S,1,1,2,3534,1730
636956,52,835,5,1,1,094953,No oficial,2024,33,,,"601,719",2025-1S,2025-1S,1,21,4,3534,1746
637403,5,1,5,1,4,015370,No oficial,2024,62,,,"596,396",2025-2S,2025-2S,1,1,2,3534,1875
631457,5,1,5,1,4,001081,No oficial,2022,,,,"609,995",2025-2S,2025-2S,1,24,2,3534,1893
630860,5,1,5,1,3,034215,Oficial,2023,17,,,"748,574",2025-2S,2025-2S,1,24,2,2552,6251
630568,85,1,5,1,2,638387,No oficial,2023,50,,,"688,765",2024-2S,2024-2S,1,1,4,3534,1679
638269,5,1,5,1,2,000059,Oficial,2015,8,,,"441,576",2024-2S,2024-2S,1,36,4,2540,4860
638279,5,1,5,1,3,000398,No oficial,2022,,,,"439,103",2024-2S,2024-2S,1,36,2,2540,4870
638281,5,1,5,1,1,007997,Oficial,2023,1,,,"422,361",2024-2S,2024-2S,1,36,4,2540,4872
638283,5,1,5,1,2,101907,No oficial,2009,10,,,"466,43",2024-2S,2024-2S,1,36,4,2540,4874
638759,5,1,5,1,3,132068,No oficial,2024,10,,,"596,802",2025-2S,2025-2S,1,1,2,3534,1849
637831,15,238,5,1,3,096644,No oficial,2023,35,,,"676,682",2025-1S,2025-1S,1,1,4,3534,1797
639017,5,1,5,1,3,133272,Oficial,2024,,,,"742,052",2025-1S,2025-1S,1,1,4,3534,1811
643840,5,1,5,1,3,160010,No oficial,2024,,,,"735,756",2025-2S,2025-2S,1,1,2,2552,6247
